,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,NY,COCAINE,74.0,81.0,2014,1,3200
1,CA,COCAINE,0.0,41.0,2014,1,0
2,TX,COCAINE,0.0,0.001,2014,1,0
3,NY,COCAINE,0.0,2.3,2014,1,0
4,NC,COCAINE,0.0,8.3,2014,1,0
5,CT,COCAINE,0.0,3000.0,2014,1,0
6,NY,COCAINE,0.0,3.8,2014,1,0
7,WV,COCAINE,71.0,0.11,2014,1,100
8,IA,COCAINE,0.0,2.1,2014,1,0
9,CA,COCAINE,0.0,6000.0,2014,1,0
10,FL,COCAINE,0.0,0.12,2014,1,0
11,NM,COCAINE,0.0,0.5,2014,1,0
12,FL,COCAINE,77.0,28.0,2014,1,1200
13,NM,COCAINE,0.0,4000.0,2014,1,0
14,NY,COCAINE,0.0,100.0,2014,1,0
15,CT,COCAINE,0.0,1000.0,2014,1,0
16,NV,COCAINE,0.0,4.7,2014,1,0
17,CA,COCAINE,16.0,0.95,2014,1,50
18,VA,COCAINE,60.0,3.3,2014,1,250
19,NC,COCAINE,0.0,8.5,2014,1,0
20,FL,COCAINE,72.0,28.0,2014,1,1200
21,NM,COCAINE,0.0,0.18,2014,1,20
22,NY,COCAINE,0.0,0.001,2014,1,0
23,TX,COCAINE,0.0,10000.0,2014,1,0
24,FL,COCAINE,71.0,28.0,2014,1,1200
25,CA,COCAINE,84.0,0.99,2014,1,0
26,MS,COCAINE,0.0,7.8,2014,1,0
27,IA,COCAINE,0.0,0.39,2014,1,0
28,TX,COCAINE,0.0,1.1,2014,1,0
30,CT,COCAINE,20.0,14.0,2014,1,450
31,NC,COCAINE,0.0,26.0,2014,1,0
32,LA,COCAINE,0.0,0.001,2014,1,0
34,WV,COCAINE,73.0,0.23,2014,1,130
35,WV,COCAINE,72.0,0.26,2014,1,60
36,NM,COCAINE,0.0,0.17,2014,1,20
37,NC,COCAINE,0.0,0.55,2014,1,0
38,CA,COCAINE,0.0,17.0,2014,1,0
39,NM,COCAINE,0.0,1000.0,2014,1,0
40,CA,COCAINE,0.0,18000.0,2014,1,0
41,FL,COCAINE,0.0,0.21,2014,1,0
42,CA,COCAINE,0.0,280000.0,2014,1,0
43,NV,COCAINE,0.0,500.0,2014,1,0
45,FL,COCAINE,0.0,0.4,2014,1,0
46,VA,COCAINE,54.0,15.0,2014,1,0
47,TX,COCAINE,62.0,27.0,2014,1,1300
48,FL,COCAINE,0.0,26.0,2014,1,0
49,CA,COCAINE,0.0,20000.0,2014,1,0
50,CA,COCAINE,90.0,1.0,2014,1,0
51,TX,COCAINE,0.0,500.0,2014,1,0
52,MA,COCAINE,72.0,5.5,2014,1,600
53,RI,COCAINE,62.0,460.0,2014,1,0
54,GA,COCAINE,0.0,27.0,2014,1,0
55,TX,COCAINE,0.0,980.0,2014,1,0
56,CO,COCAINE,33.0,81.0,2014,1,3000
57,FL,COCAINE,0.0,0.3,2014,1,0
58,TX,COCAINE,40.0,120.0,2014,1,960
59,FL,COCAINE,0.0,1700.0,2014,1,0
60,OR,COCAINE,0.0,9800.0,2014,1,0
61,GA,COCAINE,0.0,51.0,2014,1,0
62,GA,COCAINE,0.0,0.33,2014,1,0
63,CA,COCAINE,63.0,1.0,2014,1,0
64,IL,COCAINE,0.0,950.0,2014,1,0
65,MA,COCAINE,0.0,26.0,2014,1,1600
66,NY,COCAINE,45.0,60.0,2014,1,2400
67,NY,COCAINE,0.0,0.41,2014,1,60
68,CA,COCAINE,89.0,1.0,2014,1,0
69,GA,COCAINE,0.0,0.14,2014,1,0
70,CA,COCAINE,0.0,1000.0,2014,1,0
71,TX,COCAINE,0.0,1.0,2014,1,150
72,CA,COCAINE,32.0,2.8,2014,1,150
73,WV,COCAINE,65.0,0.1,2014,1,130
74,VA,COCAINE,53.0,28.0,2014,1,0
75,CA,COCAINE,0.0,1.8,2014,1,0
76,CA,COCAINE,0.0,180.0,2014,1,0
77,PA,COCAINE,63.0,50.0,2014,1,2300
78,TX,COCAINE,0.0,3.1,2014,1,200
79,FL,COCAINE,0.0,1200000.0,2014,1,0
80,NY,COCAINE,0.0,1.3,2014,1,200
81,TX,COCAINE,0.0,970.0,2014,1,0
82,TX,COCAINE,0.0,490.0,2014,1,0
84,CA,COCAINE,0.0,19.0,2014,1,0
85,VA,COCAINE,58.0,7.2,2014,1,450
86,CA,COCAINE,89.0,1.0,2014,1,0
87,IL,COCAINE,0.0,0.1,2014,1,0
88,CA,COCAINE,0.0,89.0,2014,1,0
89,CA,COCAINE,73.0,28.0,2014,1,1200
90,NC,COCAINE,0.0,18.0,2014,1,0
91,CA,COCAINE,0.0,7.2,2014,1,0
92,MA,COCAINE,77.0,3.9,2014,1,300
93,WV,COCAINE,81.0,0.36,2014,1,130
94,IL,COCAINE,59.0,9.0,2014,1,620
95,CA,COCAINE,84.0,0.99,2014,1,0
96,OK,COCAINE,0.0,18.0,2014,1,0
99,CT,COCAINE,54.0,8.5,2014,1,450
100,WV,COCAINE,63.0,0.34,2014,1,50
102,MI,COCAINE,77.0,27.0,2014,1,1400
104,LA,COCAINE,0.0,2.3,2014,1,0
105,CA,COCAINE,0.0,17000.0,2014,2,0
106,TX,COCAINE,0.0,15000.0,2014,2,0
107,IL,COCAINE,0.0,28.0,2014,2,0
109,NY,COCAINE,0.0,2000.0,2014,2,0
110,CT,COCAINE,23.0,14.0,2014,2,450
112,NM,COCAINE,64.0,0.18,2014,2,20
113,CA,COCAINE,0.0,0.001,2014,2,0
114,AL,COCAINE,0.0,8.6,2014,2,0
115,CA,COCAINE,67.0,180.0,2014,2,6800
116,MD,COCAINE,0.0,34.0,2014,2,0
117,TX,COCAINE,0.0,3000.0,2014,2,0
118,MO,COCAINE,66.0,9.9,2014,2,600
119,AZ,COCAINE,77.0,250.0,2014,2,7000
120,MS,COCAINE,0.0,12.0,2014,2,0
121,AL,COCAINE,0.0,260.0,2014,2,0
122,PA,COCAINE,23.0,26.0,2014,2,1200
123,CA,COCAINE,0.0,630.0,2014,2,0
124,MA,COCAINE,53.0,0.93,2014,2,100
125,VA,COCAINE,0.0,160.0,2014,2,0
126,NY,COCAINE,0.0,1000.0,2014,2,0
127,CA,COCAINE,0.0,3.4,2014,2,0
128,CA,COCAINE,0.0,0.33,2014,2,0
129,IL,COCAINE,27.0,28.0,2014,2,1200
130,MD,COCAINE,76.0,28.0,2014,2,1200
131,CA,COCAINE,0.0,4000.0,2014,2,0
132,TX,COCAINE,0.0,220.0,2014,2,0
133,CA,COCAINE,34.0,2.7,2014,2,150
134,FL,COCAINE,76.0,28.0,2014,2,1200
135,TX,COCAINE,0.0,2.3,2014,2,0
136,FL,COCAINE,90.0,4000.0,2014,2,0
137,CA,COCAINE,0.0,10.0,2014,2,0
138,CA,COCAINE,31.0,28.0,2014,2,800
139,LA,COCAINE,89.0,28.0,2014,2,1300
140,CA,COCAINE,77.0,110.0,2014,2,4600
141,FL,COCAINE,69.0,60.0,2014,2,2500
142,NM,COCAINE,0.0,1000.0,2014,2,0
143,TX,COCAINE,0.0,0.56,2014,2,0
144,NY,COCAINE,0.0,15.0,2014,2,0
145,CT,COCAINE,0.0,0.001,2014,2,0
146,CA,COCAINE,0.0,0.95,2014,2,0
147,AL,COCAINE,58.0,27.0,2014,2,1300
148,CA,COCAINE,0.0,9.9,2014,2,0
149,TX,COCAINE,0.0,0.61,2014,2,0
150,MD,COCAINE,0.0,0.01,2014,2,0
151,FL,COCAINE,56.0,28.0,2014,2,1200
152,MS,COCAINE,0.0,4800.0,2014,2,0
153,MD,COCAINE,30.0,11.0,2014,2,300
154,TX,COCAINE,0.0,9.3,2014,2,0
155,CT,COCAINE,0.0,11.0,2014,2,0
156,NM,COCAINE,82.0,0.31,2014,2,40
157,GA,COCAINE,0.0,27.0,2014,2,0
158,FL,COCAINE,0.0,170000.0,2014,2,0
159,FL,COCAINE,65.0,42.0,2014,2,1800
160,WV,COCAINE,52.0,0.36,2014,2,100
161,NY,COCAINE,0.0,3000.0,2014,2,0
162,VA,COCAINE,0.0,0.08800000000000001,2014,2,0
163,TX,COCAINE,0.0,14.0,2014,2,0
164,NM,COCAINE,40.0,0.22,2014,2,20
165,TX,COCAINE,0.0,120.0,2014,2,0
166,TX,COCAINE,0.0,35000.0,2014,2,0
167,AZ,COCAINE,0.0,0.07400000000000001,2014,2,0
168,CT,COCAINE,77.0,0.19,2014,2,100
169,MD,COCAINE,0.0,0.001,2014,2,0
170,CT,COCAINE,36.0,5.4,2014,2,250
171,CA,COCAINE,0.0,1.5,2014,2,0
172,VA,COCAINE,0.0,29.0,2014,2,0
173,AL,COCAINE,0.0,8.6,2014,2,0
174,SC,COCAINE,0.0,0.001,2014,2,0
175,AL,COCAINE,0.0,180.0,2014,2,0
176,TN,COCAINE,0.0,0.81,2014,2,0
177,MA,COCAINE,43.0,25.0,2014,2,1200
178,TX,COCAINE,0.0,990.0,2014,2,0
179,FL,COCAINE,62.0,47.0,2014,2,2300
180,TX,COCAINE,0.0,990.0,2014,2,0
181,WV,COCAINE,0.0,0.21,2014,2,100
182,FL,COCAINE,70.0,14.0,2014,2,730
183,NM,COCAINE,65.0,28.0,2014,2,800
184,WA,COCAINE,0.0,22.0,2014,2,0
185,TX,COCAINE,0.0,3.3,2014,2,0
186,IL,COCAINE,0.0,27.0,2014,2,0
187,VA,COCAINE,0.0,0.001,2014,2,0
188,CA,COCAINE,32.0,14.0,2014,2,450
189,FL,COCAINE,46.0,58.0,2014,2,2300
191,SC,COCAINE,0.0,1000.0,2014,2,0
192,CA,COCAINE,0.0,110.0,2014,2,0
193,SC,COCAINE,0.0,0.001,2014,2,0
194,WV,COCAINE,64.0,0.26,2014,2,150
195,TX,COCAINE,0.0,2.1,2014,2,0
196,TX,COCAINE,0.0,990.0,2014,2,0
197,TX,COCAINE,0.0,410.0,2014,2,0
198,WV,COCAINE,39.0,0.19,2014,2,100
199,CA,COCAINE,0.0,13.0,2014,2,0
200,MD,COCAINE,61.0,13.0,2014,2,700
201,TX,COCAINE,0.0,350.0,2014,2,0
202,TX,COCAINE,0.0,7900.0,2014,2,0
204,AL,COCAINE,0.0,1.3,2014,2,0
205,FL,COCAINE,26.0,3.5,2014,2,600
206,TX,COCAINE,0.0,6000.0,2014,2,0
207,IL,COCAINE,77.0,6.6,2014,2,650
208,NV,COCAINE,22.0,1.8,2014,2,260
209,SC,COCAINE,0.0,0.001,2014,2,0
210,NY,COCAINE,77.0,5.9,2014,2,400
211,FL,COCAINE,0.0,0.27,2014,2,100
212,ME,COCAINE,43.0,4.4,2014,3,400
213,CA,COCAINE,28.0,28.0,2014,3,800
214,WY,COCAINE,0.0,0.24,2014,3,0
215,WV,COCAINE,70.0,1.3,2014,3,200
216,FL,COCAINE,0.0,21.0,2014,3,0
217,FL,COCAINE,8.0,56.0,2014,3,2600
218,FL,COCAINE,83.0,1.0,2014,3,0
219,CA,COCAINE,0.0,0.62,2014,3,0
220,CA,COCAINE,0.0,300000.0,2014,3,0
221,MI,COCAINE,73.0,1.0,2014,3,0
222,TX,COCAINE,0.0,3700.0,2014,3,0
223,TX,COCAINE,0.0,13000.0,2014,3,0
224,WV,COCAINE,68.0,0.35,2014,3,100
225,WV,COCAINE,73.0,0.9,2014,3,200
226,FL,COCAINE,22.0,2.3,2014,3,1000
227,GA,COCAINE,37.0,9.7,2014,3,2400
228,TX,COCAINE,75.0,0.99,2014,3,0
229,AL,COCAINE,5.0,41.0,2014,3,3800
230,ME,COCAINE,43.0,4.1,2014,3,400
231,FL,COCAINE,0.0,690000.0,2014,3,0
232,IN,COCAINE,65.0,9.4,2014,3,600
233,FL,COCAINE,84.0,1.1,2014,3,0
234,OH,COCAINE,0.0,28.0,2014,3,1300
235,NM,COCAINE,0.0,990.0,2014,3,0
236,FL,COCAINE,86.0,1.0,2014,3,0
238,WV,COCAINE,52.0,0.7,2014,3,400
239,MD,COCAINE,0.0,1000.0,2014,3,0
240,WV,COCAINE,39.0,0.48,2014,3,250
241,NM,COCAINE,0.0,1.5,2014,3,0
242,MD,COCAINE,0.0,0.24,2014,3,0
243,IL,COCAINE,0.0,0.46,2014,3,0
244,IL,COCAINE,0.0,28.0,2014,3,0
245,FL,COCAINE,36.0,62.0,2014,3,2300
246,AL,COCAINE,44.0,26.0,2014,3,1300
247,CA,COCAINE,65.0,110.0,2014,3,4600
248,PA,COCAINE,0.0,57000.0,2014,3,0
249,TX,COCAINE,34.0,120.0,2014,3,960
250,CA,COCAINE,75.0,1.0,2014,3,0
251,FL,COCAINE,78.0,1.0,2014,3,0
252,OK,COCAINE,0.0,0.18,2014,3,0
253,WV,COCAINE,76.0,0.91,2014,3,200
254,FL,COCAINE,0.0,900.0,2014,3,0
255,AL,COCAINE,0.0,740.0,2014,3,0
256,UT,COCAINE,0.0,0.55,2014,3,0
257,FL,COCAINE,81.0,1.0,2014,3,0
258,WV,COCAINE,64.0,0.58,2014,3,0
259,NV,COCAINE,23.0,4.7,2014,3,500
260,AL,COCAINE,0.0,55.0,2014,3,2400
261,IL,COCAINE,90.0,62.0,2014,3,2500
262,NY,COCAINE,0.0,970.0,2014,3,0
263,OK,COCAINE,0.0,32.0,2014,3,0
264,TX,COCAINE,72.0,1.0,2014,3,0
265,TX,COCAINE,73.0,1.0,2014,3,0
266,MI,COCAINE,0.0,120.0,2014,3,0
267,ME,COCAINE,47.0,200.0,2014,3,3000
268,LA,COCAINE,0.0,7.1,2014,3,0
269,NY,COCAINE,0.0,12.0,2014,3,0
270,FL,COCAINE,84.0,1.0,2014,3,0
