,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,WA,HEROIN,3,49.0,2010,1,700
1,CT,HEROIN,55,0.35,2010,1,120
2,CA,HEROIN,0,4.0,2010,1,0
3,MA,HEROIN,7,15.0,2010,1,1400
4,WV,HEROIN,57,0.27,2010,1,0
5,NY,HEROIN,0,0.32,2010,1,0
6,AZ,HEROIN,0,1.4,2010,1,180
7,NY,HEROIN,0,0.013000000000000001,2010,1,0
8,AR,HEROIN,8,27.0,2010,1,2500
9,CT,HEROIN,32,0.52,2010,1,240
10,PA,HEROIN,44,0.79,2010,1,0
11,MA,HEROIN,13,4.9,2010,1,0
12,KS,HEROIN,0,0.67,2010,1,0
13,NM,HEROIN,33,1.2,2010,1,100
14,CA,HEROIN,9,25.0,2010,1,900
15,CT,HEROIN,12,3.9,2010,1,330
16,NM,HEROIN,0,63.0,2010,1,0
17,NM,HEROIN,31,3.4,2010,1,0
19,CT,HEROIN,26,0.3,2010,1,120
20,PA,HEROIN,2,15.0,2010,1,0
21,WV,HEROIN,50,0.11,2010,1,0
22,WA,HEROIN,1,23.0,2010,1,400
23,OH,HEROIN,0,0.17,2010,1,10
24,MO,HEROIN,0,0.43,2010,1,0
25,WA,HEROIN,4,24.0,2010,1,600
26,OH,HEROIN,24,1.8,2010,1,0
27,IL,HEROIN,0,0.12,2010,1,0
28,WI,HEROIN,0,9.8,2010,1,1500
29,MO,HEROIN,3,0.68,2010,1,100
30,OH,HEROIN,16,6.9,2010,1,900
31,VA,HEROIN,8,0.27,2010,1,0
32,TX,HEROIN,75,3500.0,2010,1,0
33,CT,HEROIN,9,2.3,2010,1,150
34,CA,HEROIN,0,0.001,2010,1,0
35,MO,HEROIN,0,0.001,2010,1,0
36,FL,HEROIN,20,1.9,2010,1,200
38,CT,HEROIN,24,1.8,2010,1,350
39,MI,HEROIN,33,0.94,2010,1,160
40,OH,HEROIN,1,240.0,2010,1,0
41,NJ,HEROIN,29,13.0,2010,1,1500
42,PA,HEROIN,49,190.0,2010,1,0
43,MO,HEROIN,6,0.28,2010,1,100
44,CT,HEROIN,27,1.5,2010,1,580
45,WA,HEROIN,7,130.0,2010,1,0
46,LA,HEROIN,0,57.0,2010,1,5400
47,OH,HEROIN,3,8.1,2010,1,700
48,OH,HEROIN,8,13.0,2010,1,700
49,MA,HEROIN,3,0.94,2010,1,0
50,MA,HEROIN,46,320.0,2010,1,0
51,OH,HEROIN,43,0.28,2010,1,10
52,WV,HEROIN,43,0.19,2010,1,0
53,PA,HEROIN,0,0.21,2010,1,0
54,VA,HEROIN,69,0.18,2010,1,0
55,WA,HEROIN,8,24.0,2010,1,0
56,WA,HEROIN,1,49.0,2010,1,700
57,PA,HEROIN,26,97.0,2010,1,0
58,MA,HEROIN,6,20.0,2010,1,1200
