,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,HI,METHAMPHETAMINE,97,1.0,2012,1,0
1,AZ,METHAMPHETAMINE,98,370.0,2012,1,0
2,WA,METHAMPHETAMINE,98,5.7,2012,1,0
3,CA,METHAMPHETAMINE,87,27.0,2012,1,1100
4,CA,METHAMPHETAMINE,95,53.0,2012,1,0
5,MO,METHAMPHETAMINE,72,2.1,2012,1,200
6,OR,METHAMPHETAMINE,86,55.0,2012,1,0
7,CA,METHAMPHETAMINE,99,410.0,2012,1,0
8,VA,METHAMPHETAMINE,0,0.042,2012,1,0
9,VA,METHAMPHETAMINE,92,0.079,2012,1,0
10,OK,METHAMPHETAMINE,93,110.0,2012,1,0
11,IA,METHAMPHETAMINE,100,0.35,2012,1,100
12,CA,METHAMPHETAMINE,94,28.0,2012,1,1100
14,HI,METHAMPHETAMINE,100,42.0,2012,1,0
15,OR,METHAMPHETAMINE,98,14.0,2012,1,0
16,OR,METHAMPHETAMINE,77,0.47,2012,1,0
17,CA,METHAMPHETAMINE,99,0.18,2012,1,0
18,KS,METHAMPHETAMINE,72,28.0,2012,1,0
19,CA,METHAMPHETAMINE,0,0.001,2012,1,0
20,WY,METHAMPHETAMINE,100,1.7,2012,1,0
21,VA,METHAMPHETAMINE,90,0.18,2012,1,0
22,NM,METHAMPHETAMINE,97,1800.0,2012,1,0
23,CA,METHAMPHETAMINE,99,12.0,2012,1,0
24,CA,METHAMPHETAMINE,100,15.0,2012,1,0
25,AR,METHAMPHETAMINE,97,4.4,2012,1,0
26,SC,METHAMPHETAMINE,36,27.0,2012,1,1500
27,UT,METHAMPHETAMINE,99,370.0,2012,1,0
28,WA,METHAMPHETAMINE,98,0.78,2012,1,0
29,NJ,METHAMPHETAMINE,8,150.0,2012,1,0
30,OK,METHAMPHETAMINE,32,13.0,2012,1,950
31,WY,METHAMPHETAMINE,0,0.001,2012,1,0
32,VA,METHAMPHETAMINE,0,0.001,2012,1,0
33,PA,METHAMPHETAMINE,96,3.0,2012,1,500
34,CA,METHAMPHETAMINE,99,28.0,2012,1,860
35,VA,METHAMPHETAMINE,0,0.001,2012,1,0
36,CA,METHAMPHETAMINE,0,0.001,2012,1,0
37,OR,METHAMPHETAMINE,81,26.0,2012,1,0
38,SD,METHAMPHETAMINE,72,27.0,2012,1,0
39,WY,METHAMPHETAMINE,95,3.3,2012,1,250
40,MO,METHAMPHETAMINE,80,1.5,2012,1,300
41,CA,METHAMPHETAMINE,100,450.0,2012,1,0
42,NJ,METHAMPHETAMINE,0,30.0,2012,1,0
43,KS,METHAMPHETAMINE,93,28.0,2012,1,1300
44,FL,METHAMPHETAMINE,64,13.0,2012,1,0
45,WA,METHAMPHETAMINE,99,53.0,2012,1,2400
46,VA,METHAMPHETAMINE,0,13.0,2012,1,0
47,NB,METHAMPHETAMINE,0,0.001,2012,1,0
48,CA,METHAMPHETAMINE,99,0.78,2012,1,0
49,CA,METHAMPHETAMINE,100,0.11,2012,1,0
50,VA,METHAMPHETAMINE,0,0.001,2012,1,0
51,OR,METHAMPHETAMINE,98,14.0,2012,1,0
52,CA,METHAMPHETAMINE,100,3100.0,2012,1,0
53,CA,METHAMPHETAMINE,97,250.0,2012,1,0
54,NB,METHAMPHETAMINE,97,440.0,2012,1,0
55,UT,METHAMPHETAMINE,99,300.0,2012,1,0
56,FL,METHAMPHETAMINE,90,71.0,2012,1,0
57,WY,METHAMPHETAMINE,0,0.001,2012,1,0
58,CA,METHAMPHETAMINE,29,35.0,2012,1,0
59,NB,METHAMPHETAMINE,91,43.0,2012,1,0
60,OR,METHAMPHETAMINE,98,83.0,2012,1,0
61,AL,METHAMPHETAMINE,89,1.4,2012,1,0
62,WA,METHAMPHETAMINE,71,28.0,2012,1,0
63,AZ,METHAMPHETAMINE,98,230.0,2012,1,0
64,CA,METHAMPHETAMINE,0,0.001,2012,1,0
65,CA,METHAMPHETAMINE,99,3100.0,2012,1,0
66,VA,METHAMPHETAMINE,0,0.001,2012,1,0
67,WY,METHAMPHETAMINE,100,440.0,2012,1,0
68,WY,METHAMPHETAMINE,100,55.0,2012,1,0
