state,offense,juvenile_hispanic,juvenile_not_hispanic,juvenile_total,adult_hispanic,adult_not_hispanic,adult_total
Arizona,Commercial sex acts,0,0,0,0,0,0
Arizona,Involuntary servitude,0,0,0,0,3,3
Guam,Commercial sex acts,0,0,0,0,0,0
Guam,Involuntary servitude,0,1,1,0,0,0
Indiana,Commercial sex acts,0,6,6,0,71,71
Indiana,Involuntary servitude,0,13,13,0,3,3
Minnesota,Commercial sex acts,0,2,2,0,30,30
Minnesota,Involuntary servitude,0,0,0,0,0,0
Missouri,Commercial sex acts,0,0,0,0,0,0
Missouri,Involuntary servitude,0,0,0,0,0,0
Mississippi,Commercial sex acts,0,0,0,0,2,2
Mississippi,Involuntary servitude,0,0,0,0,0,0
Ohio,Commercial sex acts,0,0,0,0,0,0
Ohio,Involuntary servitude,0,0,0,0,0,0
Texas,Commercial sex acts,15,20,35,201,465,666
Texas,Involuntary servitude,25,12,37,14,11,25
Utah,Commercial sex acts,0,0,0,0,0,0
Utah,Involuntary servitude,0,0,0,0,11,11
Wyoming,Commercial sex acts,0,1,1,0,0,0
Wyoming,Involuntary servitude,0,0,0,0,0,0
